"location","highestdeathcount"
"United States","1180025"
"Brazil","702116"
"India","533495"
"Russia","402232"
"Mexico","334958"
"United Kingdom","232112"
"Peru","220831"
"Italy","196706"
"Germany","174979"
"France","167985"
"Indonesia","162055"
"Iran","146811"
"Colombia","142727"
"Argentina","130587"
"China","121993"
"Spain","121852"
"Poland","120687"
"Ukraine","109918"
"South Africa","102595"
"Turkey","101419"
"Japan","74694"
"Romania","68701"
"Philippines","66864"
"Chile","64482"
"Canada","54326"
"Hungary","49046"
"Czechia","43494"
"Vietnam","43206"
"Greece","38945"
"Bulgaria","38691"
"Malaysia","37347"
"Ecuador","36032"
"South Korea","35934"
"Thailand","34569"
"Belgium","34339"
"Pakistan","30656"
"Bangladesh","29491"
"Tunisia","29423"
"Portugal","28113"
"Sweden","27219"
"Iraq","25375"
"Egypt","24830"
"Australia","24810"
"Netherlands","22986"
"Austria","22534"
"Bolivia","22384"
"Slovakia","21224"
"Guatemala","20200"
"Paraguay","19880"
"Myanmar","19494"
"Kazakhstan","19072"
"Croatia","18687"
"Serbia","18057"
"Georgia","17132"
"Sri Lanka","16897"
"Bosnia and Herzegovina","16386"
"Morocco","16303"
"Switzerland","14188"
"Jordan","14122"
"Israel","12707"
"Moldova","12217"
"Nepal","12031"
"Finland","11466"
"Honduras","11114"
"Lebanon","10947"
"Azerbaijan","10353"
"Slovenia","10034"
"North Macedonia","9975"
"Lithuania","9799"
"Saudi Arabia","9646"
"Denmark","9631"
"Ireland","9539"
"Costa Rica","9368"
"Armenia","8777"
"Panama","8657"
"Cuba","8530"
"Afghanistan","7982"
"Uruguay","7625"
"Ethiopia","7574"
"Latvia","7465"
"Belarus","7118"
"Algeria","6881"
"Libya","6437"
"Puerto Rico","5938"
"Venezuela","5856"
"Zimbabwe","5740"
"Norway","5732"
"Palestine","5708"
"Kenya","5689"
"Sudan","5046"
"Oman","4628"
"Trinidad and Tobago","4390"
"Dominican Republic","4384"
"El Salvador","4230"
"Namibia","4106"
"Zambia","4069"
"New Zealand","3837"
"Uganda","3632"
"Albania","3605"
"Jamaica","3594"
"Kosovo","3212"
"Syria","3163"
"Nigeria","3155"
"Cambodia","3056"
"Estonia","2995"
"Botswana","2800"
"Malawi","2686"
"Montenegro","2654"
"Kuwait","2570"
"United Arab Emirates","2349"
"Mongolia","2284"
"Mozambique","2250"
"Yemen","2159"
"Singapore","2024"
"Cameroon","1974"
"Senegal","1971"
"Angola","1937"
"Bahrain","1536"
"Rwanda","1468"
"Democratic Republic of Congo","1468"
"Ghana","1462"
"Eswatini","1427"
"Madagascar","1426"
"Suriname","1405"
"Cyprus","1365"
"Somalia","1361"
"Guyana","1300"
"Martinique","1104"
"Mauritius","1070"
"Kyrgyzstan","1024"
"Guadeloupe","1021"
"Uzbekistan","1016"
"Luxembourg","1000"
"Mauritania","997"
"Reunion","921"
"Malta","904"
"Fiji","885"
"Haiti","860"
"Tanzania","846"
"Bahamas","844"
"Cote d'Ivoire","835"
"Mali","743"
"Lesotho","709"
"Qatar","690"
"Belize","688"
"Laos","671"
"Papua New Guinea","670"
"French Polynesia","650"
"Barbados","593"
"Guinea","468"
"Guam","419"
"Cape Verde","417"
"French Guiana","413"
"Saint Lucia","409"
"Burkina Faso","400"
"Congo","389"
"Gambia","372"
"Maldives","316"
"Niger","315"
"New Caledonia","314"
"Gabon","307"
"Curacao","305"
"Liberia","294"
"Aruba","292"
"Togo","290"
"Nicaragua","245"
"Grenada","238"
"Solomon Islands","199"
"Chad","194"
"Djibouti","189"
"Mayotte","187"
"Iceland","186"
"Equatorial Guinea","183"
"Brunei","178"
"Guinea-Bissau","177"
"Seychelles","172"
"Bermuda","165"
"Benin","163"
"Jersey","161"
"Comoros","160"
"Andorra","159"
"South Sudan","147"
"Antigua and Barbuda","146"
"Timor","138"
"United States Virgin Islands","132"
"Sierra Leone","126"
"San Marino","126"
"Tajikistan","125"
"Saint Vincent and the Grenadines","124"
"Isle of Man","116"
"Central African Republic","113"
"Gibraltar","113"
"Eritrea","103"
"Sint Maarten (Dutch part)","92"
"Liechtenstein","91"
"Sao Tome and Principe","80"
"Dominica","74"
"Monaco","67"
"Guernsey","67"
"Micronesia (country)","65"
"British Virgin Islands","64"
"Saint Kitts and Nevis","46"
"Saint Martin (French part)","46"
"Bonaire Sint Eustatius and Saba","41"
"Northern Mariana Islands","41"
"Turks and Caicos Islands","40"
"Cayman Islands","37"
"American Samoa","34"
"Samoa","31"
"Faeroe Islands","28"
"Kiribati","24"
"Greenland","21"
"Bhutan","21"
"Marshall Islands","17"
"Burundi","15"
"Vanuatu","14"
"Anguilla","12"
"Tonga","12"
"Palau","9"
"Wallis and Futuna","8"
"Montserrat","8"
"Saint Barthelemy","5"
"Saint Pierre and Miquelon","2"
"Cook Islands","2"
"Nauru","1"
"Tuvalu","1"
"Turkmenistan","0"
"Niue","0"
"England","0"
"Scotland","0"
"Macao","0"
"North Korea","0"
"Tokelau","0"
"Vatican","0"
"Northern Cyprus","0"
"Falkland Islands","0"
"Wales","0"
"Northern Ireland","0"
"Western Sahara","0"
"Pitcairn","0"
"Taiwan","0"
"Hong Kong","0"
"Saint Helena","0"
