"location","population","highestinfectioncount","percentpopinfected"
"Brunei","449002","343469","76.49609578576488"
"Cyprus","896007","681110","76.0161471952786"
"San Marino","33690","25292","75.07272187592757"
"Austria","8939617","6081287","68.02625884308019"
"South Korea","51815808","34571873","66.72070615978815"
"Faeroe Islands","53117","34658","65.24841387879586"
"Slovenia","2119843","1355769","63.95610429640308"
"Gibraltar","32677","20550","62.8882700370291"
"Martinique","367512","230354","62.67931387274429"
"Luxembourg","647601","391176","60.403859784033685"
"Andorra","79843","48015","60.1367684080007"
"Jersey","110796","66391","59.92183833351385"
"Denmark","5882259","3434511","58.38761945028262"
"Saint Pierre and Miquelon","5885","3426","58.21580288870008"
"France","67813000","38997490","57.507395337177236"
"Iceland","372903","209903","56.28890086698149"
"Guernsey","63329","35326","55.78171138025233"
"Portugal","10270857","5642833","54.9402352695593"
"Liechtenstein","39355","21574","54.818955660017785"
"Greece","10384972","5624522","54.160203802186466"
"Singapore","5637022","3006155","53.32877891908174"
"Latvia","1850654","977701","52.83002657438938"
"Guadeloupe","395762","203235","51.352833268479536"
"Israel","9449000","4841558","51.2388400888983"
"Switzerland","8740471","4452607","50.94241488816793"
"Niue","1952","993","50.870901639344254"
"Reunion","974062","494595","50.7765419449686"
"Falkland Islands","3801","1923","50.59194948697711"
"Saint Barthelemy","10994","5507","50.09095870474805"
"Lithuania","2750058","1364902","49.63175322120479"
"Georgia","3744385","1855289","49.54856404990405"
"Netherlands","17564020","8635061","49.16335212553846"
"New Zealand","5185289","2495178","48.1203265623189"
"Seychelles","107135","51220","47.80883931488309"
"Bahrain","1472237","696614","47.31670240593056"
"Monaco","36491","17181","47.082842344687734"
"Germany","83369840","38437756","46.10510947364179"
"Estonia","1326064","610125","46.010222734347664"
"Cayman Islands","68722","31472","45.79610605046419"
"Czechia","10493990","4758465","45.344668710376126"
"Italy","59037472","26715575","45.25189527085441"
"Australia","26177410","11799677","45.07580008870244"
"Isle of Man","84534","38008","44.96179052215676"
"Bonaire Sint Eustatius and Saba","27052","11922","44.070678692887775"
"Nauru","12691","5393","42.49468127019148"
"Cook Islands","17032","7203","42.29098168154063"
"Belgium","11655923","4860053","41.69599438843239"
"Aruba","106459","44224","41.54087489080303"
"Saint Helena","5401","2166","40.10368450286984"
"Montenegro","627082","251280","40.07131443734631"
"Marshall Islands","41593","16138","38.79979804293992"
"Saint Martin (French part)","31816","12324","38.73522755846115"
"Puerto Rico","3252412","1252713","38.51643026775206"
"Barbados","281646","108064","38.368732380364"
"Serbia","6871547","2583470","37.596628532119475"
"United Kingdom","67508936","24908726","36.89693168916186"
"Maldives","523798","186694","35.64236595023272"
"Palau","18084","6265","34.643884096438846"
"Ireland","5023108","1734506","34.530533685519"
"Slovakia","5643455","1877558","33.26965484796104"
"Croatia","4030361","1309728","32.49654311363175"
"French Guiana","304568","98041","32.19018412965249"
"Montserrat","4413","1403","31.792431452526625"
"Wallis and Futuna","11596","3550","30.614004829251467"
"United States","338289856","103436829","30.57639097519968"
"Guam","171783","52287","30.437819807547896"
"Uruguay","3422796","1037893","30.32295818973728"
"Mongolia","3398373","1011490","29.763948807267475"
"Spain","47558632","13980340","29.396009540392164"
"Bermuda","64207","18860","29.37374429579329"
"Northern Mariana Islands","49574","14341","28.92847056925001"
"Norway","5434324","1506934","27.729925562038627"
"New Caledonia","289959","80064","27.612179652985425"
"Japan","123951696","33803572","27.27156875691318"
"Chile","19603736","5329509","27.186190428191853"
"Finland","5540745","1499712","27.06697384557492"
"Sweden","10549349","2751035","26.077770296536784"
"Tuvalu","11335","2943","25.96382884869872"
"French Polynesia","306292","79254","25.87530852911601"
"United States Virgin Islands","99479","25389","25.521969460891242"
"Mauritius","1299478","327256","25.183650665882762"
"Sint Maarten (Dutch part)","44192","11051","25.00678855901521"
"Anguilla","15877","3904","24.589028153933363"
"Curacao","191173","45883","24.00077416790028"
"Costa Rica","5180836","1230653","23.753946274307854"
"British Virgin Islands","31332","7392","23.59249329758713"
"Panama","4408582","1039408","23.576923373547324"
"Micronesia (country)","114178","26547","23.250538632661282"
"Malta","533293","121397","22.763659001712007"
"Lebanon","5489744","1239904","22.58582549568796"
"Hungary","9967304","2230202","22.375177881601687"
"Argentina","45510324","10090694","22.172318527110463"
"Dominica","72758","15760","21.6608482915968"
"Greenland","56494","11971","21.189860870180905"
"Turkey","85341248","17004677","19.925507768529467"
"Bulgaria","6781955","1328885","19.59442373180005"
"Moldova","3272993","635061","19.403066245482346"
"Qatar","2695131","514524","19.09087164965265"
"American Samoa","44295","8359","18.871204424878655"
"Romania","19659270","3524829","17.929602675989496"
"Belize","405285","70804","17.47017530873336"
"Brazil","215313504","37519960","17.425734709142997"
"North Macedonia","2093606","350555","16.74407696577102"
"Saint Lucia","179872","30072","16.718555417185556"
"Poland","39857144","6660642","16.711287692866303"
"Russia","144713312","23983621","16.573196113430118"
"Armenia","2780472","451831","16.250154650001868"
"Tonga","106867","16950","15.860836366698795"
"Grenada","125459","19693","15.696761491802103"
"Kuwait","4268886","667139","15.627941341136776"
